Customer_ID,Age,Salary,Purchased
1,22,25000,0
2,34,32000,0
3,28,48000,0
4,31,62000,0
5,23,71000,0
6,25,54000,0
7,29,89000,0
8,35,145000,1
9,27,38000,0
10,33,69000,0
11,24,85000,0
12,30,56000,0
13,21,78000,0
14,36,22000,0
15,19,88000,0
16,32,76000,0
17,45,28000,1
18,48,31000,1
19,44,35000,1
20,46,33000,1
21,49,27000,1
22,50,52000,1
23,47,45000,1
24,43,58000,0
25,41,34000,1
26,38,78000,0
27,39,125000,1
28,42,112000,1
29,40,68000,0
30,37,92000,0
31,45,138000,1
32,33,82000,0
33,34,64000,0
34,41,122000,1
35,36,58000,0
36,37,118000,1
37,44,135000,1
38,26,48000,0
39,28,88000,0
40,30,67000,0
41,46,118000,1
42,51,145000,1
43,52,142000,1
44,35,72000,0
45,32,79000,0
46,38,81000,0
47,43,142000,1
48,41,83000,0
49,48,148000,1
50,47,92000,1
51,53,138000,1
52,57,88000,1
53,58,115000,1
54,55,78000,1
55,56,95000,1
56,54,152000,1
57,51,66000,1
58,52,86000,1
59,53,82000,1
60,59,118000,1
61,44,128000,1
62,50,132000,1
63,24,89000,0
64,25,94000,0
65,37,132000,1
66,36,54000,0
67,38,93000,0
68,42,99000,0
69,49,138000,1
70,47,62000,1
71,31,42000,0
72,30,65000,0
73,52,132000,1
74,45,46000,1
75,20,72000,0
76,23,58000,0
77,22,59000,0
78,21,32000,0
79,58,45000,1
80,56,51000,1
81,57,135000,1
82,39,138000,1
83,44,102000,1
84,46,42000,1
85,42,32000,0
86,48,72000,1
87,43,99000,1
88,35,122000,1
89,36,116000,1
90,54,58000,1
91,33,63000,0
92,34,92000,0
93,40,108000,1
94,27,31000,0
95,45,148000,1
96,51,28000,1
97,50,34000,1
98,49,27000,1
99,48,32000,1
100,57,26000,1
101,29,47000,0
102,26,52000,0
103,31,98000,0
104,55,87000,1
105,54,125000,1
106,35,69000,0
107,36,74000,0
108,40,132000,1
109,42,98000,1
110,47,75000,1
111,48,108000,1
112,53,92000,1
113,59,78000,1
114,60,105000,1
115,23,44000,0
116,24,68000,0
117,28,75000,0
118,32,88000,0
119,46,125000,1
120,50,138000,1
